ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1234,Replace the Substring for Balanced String,33.2%,Medium,0, https://leetcode.com/problems/replace-the-substring-for-balanced-string
ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1,Two Sum,45.6%,Easy,0.3464144405513164, https://leetcode.com/problems/two-sum
2,Add Two Numbers,33.9%,Medium,0.303844163691924, https://leetcode.com/problems/add-two-numbers
21,Merge Two Sorted Lists,53.5%,Easy,0.2612738868325316, https://leetcode.com/problems/merge-two-sorted-lists
1096,Brace Expansion II,62.2%,Hard,0.2363887780642304, https://leetcode.com/problems/brace-expansion-ii
741,Cherry Pickup,33.9%,Hard,0.20909179785855941, https://leetcode.com/problems/cherry-pickup
5,Longest Palindromic Substring,29.5%,Medium,0.18726302339313927, https://leetcode.com/problems/longest-palindromic-substring
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.14469274653374686, https://leetcode.com/problems/longest-substring-without-repeating-characters
82,Remove Duplicates from Sorted List II,36.8%,Medium,0.1110882064011508, https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
274,H-Index,36.1%,Medium,0.07416907257227875, https://leetcode.com/problems/h-index
706,Design HashMap,61.3%,Easy,0.0683442674369718, https://leetcode.com/problems/design-hashmap
22,Generate Parentheses,62.7%,Medium,0.06759329113252818, https://leetcode.com/problems/generate-parentheses
115,Distinct Subsequences,38.3%,Hard,0.061494781607806234, https://leetcode.com/problems/distinct-subsequences
739,Daily Temperatures,63.3%,Medium,0.06111383323222972, https://leetcode.com/problems/daily-temperatures
420,Strong Password Checker,14.0%,Hard,0.061087691979838175, https://leetcode.com/problems/strong-password-checker
218,The Skyline Problem,34.6%,Hard,0.0564413109049518, https://leetcode.com/problems/the-skyline-problem
76,Minimum Window Substring,34.6%,Hard,0.05473322196089386, https://leetcode.com/problems/minimum-window-substring
728,Self Dividing Numbers,74.3%,Easy,0.054658412537864055, https://leetcode.com/problems/self-dividing-numbers
15,3Sum,26.8%,Medium,0.05357467464947331, https://leetcode.com/problems/3sum
206,Reverse Linked List,62.5%,Easy,0.046346967254127305, https://leetcode.com/problems/reverse-linked-list
725,Split Linked List in Parts,52.2%,Medium,0.04603804920255727, https://leetcode.com/problems/split-linked-list-in-parts
53,Maximum Subarray,46.5%,Easy,0.04299340685592046, https://leetcode.com/problems/maximum-subarray
37,Sudoku Solver,43.6%,Hard,0.040527833612118376, https://leetcode.com/problems/sudoku-solver
25,Reverse Nodes in k-Group,42.1%,Hard,0.040236757867738004, https://leetcode.com/problems/reverse-nodes-in-k-group
202,Happy Number,50.4%,Easy,0.03853744444187023, https://leetcode.com/problems/happy-number
42,Trapping Rain Water,48.9%,Hard,0.038490960607653675, https://leetcode.com/problems/trapping-rain-water
560,Subarray Sum Equals K,43.9%,Medium,0.037871360699521406, https://leetcode.com/problems/subarray-sum-equals-k
7,Reverse Integer,25.8%,Easy,0.03703110993069894, https://leetcode.com/problems/reverse-integer
31,Next Permutation,32.6%,Medium,0.03686102113159897, https://leetcode.com/problems/next-permutation
74,Search a 2D Matrix,36.5%,Medium,0.03685354875882915, https://leetcode.com/problems/search-a-2d-matrix
4,Median of Two Sorted Arrays,29.6%,Hard,0.034565653112280895, https://leetcode.com/problems/median-of-two-sorted-arrays
214,Shortest Palindrome,29.8%,Hard,0.03419136474827932, https://leetcode.com/problems/shortest-palindrome
